name,node
equipt-7,node-1
equipt-21,node-1
equipt-23,node-1
equipt-1,node-1
equipt-19,node-1
equipt-36,node-2
equipt-14,node-1
equipt-37,node-2
equipt-17,node-3
equipt-9,node-1
aigc-7,node-2
equipt-22,node-4
equipt-31,node-2
equipt-27,node-2
equipt-29,node-5
aigc-2,node-4
equipt-2,node-1
equipt-26,node-6
equipt-8,node-1
equipt-24,node-7
equipt-34,node-2
command_center-1,node-1
aigc-3,node-1
equipt-16,node-1
equipt-40,node-2
aigc-9,node-5
equipt-33,node-2
aigc-6,node-6
equipt-28,node-8
equipt-18,node-1
equipt-20,node-1
equipt-10,node-4
aigc-10,node-1
equipt-30,node-1
aigc-4,node-7
equipt-11,node-1
equipt-39,node-2
aigc-8,node-8
command_node-2,node-2
equipt-25,node-2
equipt-35,node-2
equipt-3,node-1
equipt-32,node-2
aigc-1,node-1
equipt-4,node-4
equipt-6,node-1
equipt-12,node-1
equipt-13,node-1
equipt-15,node-1
aigc-5,node-2
command_node-1,node-1
equipt-5,node-4
equipt-38,node-2
